[0.004s][info][gc] Using Serial
[48,524s][info][gc] GC(170) Pause Young (Allocation Failure) 1750M->873M(1979M) 875,592ms
[48,747s][info][gc] GC(172) Pause Young (Allocation Failure) 1321M->985M(1979M) 51,456ms
[48,957s][info][gc] GC(173) Pause Young (Allocation Failure) 1434M->1097M(1979M) 53,698ms
[49,177s][info][gc] GC(174) Pause Young (Allocation Failure) 1547M->1209M(1979M) 58,264ms
[49,394s][info][gc] GC(175) Pause Young (Allocation Failure) 1660M->1321M(1979M) 60,125ms
[50,448s][info][gc] GC(177) Pause Full (Allocation Failure) 1774M->885M(1979M) 885,574ms
[50,448s][info][gc] GC(176) Pause Young (Allocation Failure) 1774M->885M(1979M) 885,642ms
[50,671s][info][gc] GC(178) Pause Young (Allocation Failure) 1340M->999M(1979M) 54,562ms
[50,889s][info][gc] GC(179) Pause Young (Allocation Failure) 1454M->1112M(1979M) 57,216ms
[51,107s][info][gc] GC(180) Pause Young (Allocation Failure) 1569M->1226M(1979M) 59,482ms
[52,180s][info][gc] GC(182) Pause Full (Allocation Failure) 1683M->895M(1979M) 915,736ms
[52,180s][info][gc] GC(181) Pause Young (Allocation Failure) 1683M->895M(1979M) 915,794ms
[52,405s][info][gc] GC(183) Pause Young (Allocation Failure) 1354M->1009M(1979M) 56,301ms
[52,632s][info][gc] GC(184) Pause Young (Allocation Failure) 1470M->1124M(1979M) 54,384ms
[52,851s][info][gc] GC(185) Pause Young (Allocation Failure) 1585M->1239M(1979M) 56,533ms
[53,950s][info][gc] GC(187) Pause Full (Allocation Failure) 1701M->905M(1979M) 908,353ms
[53,950s][info][gc] GC(186) Pause Young (Allocation Failure) 1701M->905M(1979M) 908,412ms
[54,182s][info][gc] GC(188) Pause Young (Allocation Failure) 1369M->1020M(1979M) 54,910ms
[54,414s][info][gc] GC(189) Pause Young (Allocation Failure) 1485M->1136M(1979M) 57,336ms
[54,649s][info][gc] GC(190) Pause Young (Allocation Failure) 1603M->1252M(1979M) 58,135ms
[55,732s][info][gc] GC(192) Pause Full (Allocation Failure) 1720M->915M(1979M) 915,496ms
[55,732s][info][gc] GC(191) Pause Young (Allocation Failure) 1720M->915M(1979M) 915,558ms
[55,962s][info][gc] GC(193) Pause Young (Allocation Failure) 1384M->1031M(1979M) 54,234ms
[56,187s][info][gc] GC(194) Pause Young (Allocation Failure) 1501M->1148M(1979M) 56,477ms
[56,412s][info][gc] GC(195) Pause Young (Allocation Failure) 1620M->1266M(1979M) 62,263ms
[57,539s][info][gc] GC(197) Pause Full (Allocation Failure) 1738M->924M(1979M) 948,838ms
[57,539s][info][gc] GC(196) Pause Young (Allocation Failure) 1738M->924M(1979M) 948,925ms
[57,768s][info][gc] GC(198) Pause Young (Allocation Failure) 1398M->1042M(1979M) 54,736ms
[57,996s][info][gc] GC(199) Pause Young (Allocation Failure) 1517M->1161M(1979M) 56,686ms
[58,229s][info][gc] GC(200) Pause Young (Allocation Failure) 1637M->1279M(1979M) 57,545ms
[59,340s][info][gc] GC(202) Pause Full (Allocation Failure) 1757M->934M(1979M) 943,742ms
[59,340s][info][gc] GC(201) Pause Young (Allocation Failure) 1757M->934M(1979M) 943,829ms
[59,581s][info][gc] GC(203) Pause Young (Allocation Failure) 1413M->1053M(1979M) 63,076ms
